,CLASS,DIVORCE,HAPPY,RELIG16
211,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
214,LOWER CLASS,YES,PRETTY HAPPY,PROTESTANT
215,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
216,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
217,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
219,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
220,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
221,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
222,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
226,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
232,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
233,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
234,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
235,UPPER CLASS,YES,PRETTY HAPPY,PROTESTANT
236,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
237,MIDDLE CLASS,YES,NOT TOO HAPPY,CHRISTIAN
238,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
239,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
240,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
242,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
243,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
247,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
249,UPPER CLASS,NO,VERY HAPPY,JEWISH
251,MIDDLE CLASS,NO,VERY HAPPY,JEWISH
258,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
259,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
260,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
262,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
263,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
264,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
271,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
275,UPPER CLASS,NO,PRETTY HAPPY,CATHOLIC
276,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
278,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
279,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
281,MIDDLE CLASS,NO,VERY HAPPY,JEWISH
282,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
283,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
285,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
289,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
291,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
295,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
300,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
301,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
302,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
304,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
309,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
312,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
313,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
316,MIDDLE CLASS,NO,VERY HAPPY,JEWISH
317,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
318,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
319,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
320,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
321,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
322,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
324,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
325,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
327,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
331,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
334,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
335,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
337,UPPER CLASS,YES,VERY HAPPY,JEWISH
338,UPPER CLASS,NO,PRETTY HAPPY,NONE
340,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
